sentence1,sentence2,score
Abuse of authorisations in OEM and/or car services,CAN bus flooding,0.2739444375038147
Abuse of authorisations in OEM and/or car services,CAN eavesdropping,0.29850414395332336
Abuse of authorisations in OEM and/or car services,CAN frame injection,0.248632550239563
Abuse of authorisations in OEM and/or car services,CAN frame tampering,0.3315959870815277
Abuse of authorisations in OEM and/or car services,Change of data or car components configuration,0.3418979346752167
Abuse of authorisations in OEM and/or car services,Communication protocol hijacking in car devices,0.5805934071540833
Abuse of authorisations in OEM and/or car services,Data aggregation and profiling of driver,0.3757932484149933
Abuse of authorisations in OEM and/or car services,Data loss in OEM and/or car services,0.599014401435852
Abuse of authorisations in OEM and/or car services,ECU firmware dump,0.26199889183044434
Abuse of authorisations in OEM and/or car services,ECU reflash,0.1584118753671646
Abuse of authorisations in OEM and/or car services,Erroneous use or configuration of car components,0.5172825455665588
Abuse of authorisations in OEM and/or car services,Failure to meet contractual requirements with driver,0.31172236800193787
Abuse of authorisations in OEM and/or car services,Failures or sabotage of car components,0.5155702829360962
Abuse of authorisations in OEM and/or car services,GPS spoofing,0.19088417291641235
Abuse of authorisations in OEM and/or car services,Identity theft of driver,0.4815249443054199
Abuse of authorisations in OEM and/or car services,Infotainment alteration,0.27246373891830444
Abuse of authorisations in OEM and/or car services,Infotainment malware,0.36948904395103455
Abuse of authorisations in OEM and/or car services,Infotainment reverse engineering,0.3472384512424469
Abuse of authorisations in OEM and/or car services,Loss of GNSS signal,0.1121029406785965
Abuse of authorisations in OEM and/or car services,Man-in-the-middle attack / Session hijacking in OEM and/or car services,0.5353381633758545
Abuse of authorisations in OEM and/or car services,Manipulation of information in OEM and/or car services,0.755009114742279
Abuse of authorisations in OEM and/or car services,Mobile app malware,0.2838694751262665
Abuse of authorisations in OEM and/or car services,Mobile app spoofing,0.2828218340873718
Abuse of authorisations in OEM and/or car services,OEM targeted attacks,0.3573596179485321
Abuse of authorisations in OEM and/or car services,OEM servers information leakage,0.48055168986320496
Abuse of authorisations in OEM and/or car services,Servers violation in OEM services,0.6177340149879456
Abuse of authorisations in OEM and/or car services,Side-channel attacks against car components,0.5087541937828064
Abuse of authorisations in OEM and/or car services,Smart key bruteforcing,0.30250638723373413
Abuse of authorisations in OEM and/or car services,Smart key cloning,0.15701013803482056
Abuse of authorisations in OEM and/or car services,Smart key jamming,0.3041725754737854
Abuse of authorisations in OEM and/or car services,Software vulnerabilities exploitation in OEM and/or car services,0.8003703355789185
Abuse of authorisations in OEM and/or car services,Theft of car,0.5248194336891174
Abuse of authorisations in OEM and/or car services,Threats targeting autonomous sensors,0.30035924911499023
Abuse of authorisations in OEM and/or car services,Unauthorised access in OEM and/or car services,0.763096034526825
Abuse of authorisations in OEM and/or car services,Unreliable sources of information and/or rogue car components,0.4700421690940857
Abuse of authorisations in OEM and/or car services,V2X data tampering,0.34530502557754517
Abuse of authorisations in OEM and/or car services,V2X Denial of Service,0.17931398749351501
Abuse of authorisations in OEM and/or car services,V2X eavesdropping,0.3282926678657532
Abuse of authorisations in OEM and/or car services,V2X message replay,0.2815931439399719
Abuse of authorisations in OEM and/or car services,Violation of rules and regulations/Breach of legislation/ Abuse of driver personal data,0.6396913528442383
Abuse of authorisations in OEM and/or car services,Collection of data not required for the driver-consented purpose,0.4372776448726654
Abuse of authorisations in OEM and/or car services,Consent-related issues with driver,0.40005090832710266
Abuse of authorisations in OEM and/or car services,Data aggregation and profiling of driver,0.3757932484149933
Abuse of authorisations in OEM and/or car services,Inability of driver to access and modify data,0.3619788885116577
Abuse of authorisations in OEM and/or car services,"Inappropriate or non-transparent policies, agreements, terms and conditions to driver",0.5251688361167908
Abuse of authorisations in OEM and/or car services,Insecure data transfer in OEM and/or car services,0.6198952198028564
Abuse of authorisations in OEM and/or car services,Insufficient data breach response from OEM,0.2640717625617981
Abuse of authorisations in OEM and/or car services,Insufficient data quality in OEM and/or car services,0.5507088303565979
Abuse of authorisations in OEM and/or car services,Insufficient data structure model to handle driver rights,0.46761131286621094
Abuse of authorisations in OEM and/or car services,Insufficient deletion of driver data,0.3249112367630005
Abuse of authorisations in OEM and/or car services,Misleading content in OEM services,0.47002243995666504
Abuse of authorisations in OEM and/or car services,Operator-sided data leakage in OEM and/or car devices,0.6853750348091125
Abuse of authorisations in OEM and/or car services,Secondary use of driver data,0.4297845661640167
Abuse of authorisations in OEM and/or car services,"Sharing, transfer or processing through 3rd party of driver data",0.4212220311164856
Abuse of authorisations in OEM and/or car services,Software vulnerabilities exploitation in OEM and/or car services,0.8003703355789185
CAN bus flooding,CAN eavesdropping,0.2624639868736267
CAN bus flooding,CAN frame injection,0.2656421661376953
CAN bus flooding,CAN frame tampering,0.27340787649154663
CAN bus flooding,Change of data or car components configuration,0.22377294301986694
CAN bus flooding,Communication protocol hijacking in car devices,0.19950994849205017
CAN bus flooding,Data aggregation and profiling of driver,0.15254178643226624
CAN bus flooding,Data loss in OEM and/or car services,0.1991678923368454
CAN bus flooding,ECU firmware dump,0.3086543083190918
CAN bus flooding,ECU reflash,0.2514461278915405
CAN bus flooding,Erroneous use or configuration of car components,0.24132615327835083
CAN bus flooding,Failure to meet contractual requirements with driver,0.10411831736564636
CAN bus flooding,Failures or sabotage of car components,0.15311653912067413
CAN bus flooding,GPS spoofing,0.21245649456977844
CAN bus flooding,Identity theft of driver,0.1829618364572525
CAN bus flooding,Infotainment alteration,0.2306332290172577
CAN bus flooding,Infotainment malware,0.25899946689605713
CAN bus flooding,Infotainment reverse engineering,0.21630927920341492
CAN bus flooding,Loss of GNSS signal,0.18889513611793518
CAN bus flooding,Man-in-the-middle attack / Session hijacking in OEM and/or car services,0.18098288774490356
CAN bus flooding,Manipulation of information in OEM and/or car services,0.23106813430786133
CAN bus flooding,Mobile app malware,0.18635055422782898
CAN bus flooding,Mobile app spoofing,0.150652676820755
CAN bus flooding,OEM targeted attacks,0.27560800313949585
CAN bus flooding,OEM servers information leakage,0.29676708579063416
CAN bus flooding,Servers violation in OEM services,0.2899618446826935
CAN bus flooding,Side-channel attacks against car components,0.15152035653591156
CAN bus flooding,Smart key bruteforcing,0.3086974024772644
CAN bus flooding,Smart key cloning,0.07973629236221313
CAN bus flooding,Smart key jamming,0.2920270562171936
CAN bus flooding,Software vulnerabilities exploitation in OEM and/or car services,0.26478350162506104
CAN bus flooding,Theft of car,0.15485510230064392
CAN bus flooding,Threats targeting autonomous sensors,0.18810829520225525
CAN bus flooding,Unauthorised access in OEM and/or car services,0.28177717328071594
CAN bus flooding,Unreliable sources of information and/or rogue car components,0.14844246208667755
CAN bus flooding,V2X data tampering,0.120172880589962
CAN bus flooding,V2X Denial of Service,0.08076121658086777
CAN bus flooding,V2X eavesdropping,0.1257416307926178
CAN bus flooding,V2X message replay,0.14772069454193115
CAN bus flooding,Violation of rules and regulations/Breach of legislation/ Abuse of driver personal data,0.11754975467920303
CAN bus flooding,Collection of data not required for the driver-consented purpose,0.21764987707138062
CAN bus flooding,Consent-related issues with driver,0.3064754605293274
CAN bus flooding,Data aggregation and profiling of driver,0.15254178643226624
CAN bus flooding,Inability of driver to access and modify data,0.20723974704742432
CAN bus flooding,"Inappropriate or non-transparent policies, agreements, terms and conditions to driver",0.20977245271205902
CAN bus flooding,Insecure data transfer in OEM and/or car services,0.27481839060783386
CAN bus flooding,Insufficient data breach response from OEM,0.12196767330169678
CAN bus flooding,Insufficient data quality in OEM and/or car services,0.15501686930656433
CAN bus flooding,Insufficient data structure model to handle driver rights,0.2095353901386261
CAN bus flooding,Insufficient deletion of driver data,0.1652846336364746
CAN bus flooding,Misleading content in OEM services,0.230807825922966
CAN bus flooding,Operator-sided data leakage in OEM and/or car devices,0.2532695531845093
CAN bus flooding,Secondary use of driver data,0.15635548532009125
CAN bus flooding,"Sharing, transfer or processing through 3rd party of driver data",0.25568991899490356
