sentence1,sentence2,score
Denial of Service,Malware,0.05589687451720238
Denial of Service,Manipulation of hardware and software,-0.026476562023162842
Denial of Service,Manipulation of information,0.04690639302134514
Denial of Service,Threats targeting autonomous sensors,0.09776975214481354
Denial of Service,Threats against AI and ML,0.03216176480054855
Denial of Service,Failure or malfunction of a sensor/actuator,0.2148364782333374
Denial of Service,Vandalism,0.08361568301916122
Denial of Service,Network outage,0.3120373487472534
Denial of Service,OEM Targeted attacks,0.06612049788236618
Denial of Service,Unauthorised activities,0.062096741050481796
Denial of Service,Identity theft,0.03220539167523384
Denial of Service,Abuse of authorizations,0.09474188834428787
Denial of Service,Sabotage,0.04076426848769188
Denial of Service,Theft,0.10482455044984818
Denial of Service,Side-channel attacks,0.12338495254516602
Denial of Service,Fault injection,0.11492541432380676
Denial of Service,Software vulnerabilities exploitation,0.059968382120132446
Denial of Service,Failure or Disruption of service,0.4261779487133026
Denial of Service,Communication protocol hijacking,0.08500523865222931
Denial of Service,Data replay,0.14749956130981445
Denial of Service,Man-in-the-middle attack / Session hijacking,0.12720666825771332
Denial of Service,Unintentional change of data or car components configuration,0.08947921544313431
Denial of Service,Information leakage,0.13672685623168945
Denial of Service,Using information and/or devices from an unreliable source,0.12231093645095825
Denial of Service,Erroneous use or configuration of car components,-0.016142159700393677
Denial of Service,Failure to meet contractual requirements,0.3571554720401764
Denial of Service,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.05807281285524368
Denial of Service,Loss of GNSS signal,0.22027328610420227
Denial of Service,Car depleted battery,0.08629821240901947
Denial of Service,Attacker injects CAN messages/codes via any ECUs connected to the bus.,-0.008115191012620926
Denial of Service,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.023447010666131973
Denial of Service,Attacker remotely accesses via telematics systems (TCU).,-0.02248791791498661
Denial of Service,"An adversary can capture, analyze, and replaye the messages.",0.05287538841366768
Denial of Service,An adversary could link the messages to a specific vehicle.,-0.03772054985165596
Denial of Service,An adversary can crack a weak password.,0.03813350573182106
Denial of Service,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.011453813873231411
Denial of Service,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,-0.05317449942231178
Denial of Service,"Spying, SMS Interception & Modification, User Tracking.",0.06469134241342545
Denial of Service,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",-0.0712231993675232
Denial of Service,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.027645841240882874
Denial of Service,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.021331366151571274
Denial of Service,Attacker operates phisically on the TC by tampering the device firmware.,0.03397374227643013
Denial of Service,An attacker could perform remote control by installing remotely his own software on the device.,-0.04187920317053795
Denial of Service,Reprogramming the USB/CD device's firmware to execute malicious actions.,-0.07149417698383331
Denial of Service,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,-0.011757723055779934
Denial of Service,An adversary can identify or track the vehicle from the sensor.,0.030663153156638145
Denial of Service,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.04035099595785141
Denial of Service,Possibility to discover and control the behaviour and profile of the driver.,0.03497767075896263
Denial of Service,An adversary relates pseudonymous positions to specific vehicles.,0.09539150446653366
Denial of Service,Mobile App spoofing,0.05155516043305397
Denial of Service,Smart key bruteforcing,-0.11467244476079941
Denial of Service,Smart key cloning,-0.03175318241119385
Denial of Service,GPS spoofing,0.034655436873435974
Denial of Service,V2X Message replay,-0.040085241198539734
Denial of Service,Infotainment malware,0.04759908467531204
Denial of Service,Mobile App malware,0.06809676438570023
Denial of Service,ECU reflash,-0.010541236028075218
Denial of Service,CAN frame injection,0.13185840845108032
Denial of Service,CAN frame tampering,0.08424190431833267
Denial of Service,V2X data tampering,-0.08080004155635834
Denial of Service,CAN eavesdropping,0.13403989374637604
Denial of Service,Unauthorised diagnostic access,0.2644802927970886
Denial of Service,Infotainment reverse engineering,0.05674228444695473
Denial of Service,Insecure API endpoint,0.22239521145820618
Denial of Service,ECU firmware dump,0.0018129772506654263
Denial of Service,Server violation,0.24547526240348816
Denial of Service,V2X eavesdropping,-0.08850298076868057
Denial of Service,CAN bus flooding,0.041169606149196625
Denial of Service,Smart key jamming,0.07252740114927292
Denial of Service,Data loss,0.2605009377002716
Denial of Service,V2X Denial of Service,0.5482310652732849
Denial of Service,Infotainment Alteration,0.016187971457839012
Denial of Service,Rogue OBD-II Device,-0.04002436250448227
Denial of Service,Insider Threat,0.06799820810556412
Denial of Service,Web Application Vulnerabilities,0.15518610179424286
Denial of Service,Operator-sided Data Leakage,0.11449384689331055
Denial of Service,Insufficient Data Breach Response,0.2866053581237793
Denial of Service,Consent on Everything / Problems with getting Consent,0.2919510304927826
Denial of Service,"Non-transparent Policies, Agreements, Terms and Conditions",0.40998977422714233
Denial of Service,Insufficient Deletion of User Data,0.32241129875183105
Denial of Service,Insufficient Data Quality,0.12723340094089508
Denial of Service,Missing or Insufficient Session Expiration,0.20173966884613037
Denial of Service,Inability of users to access and modify data,0.43924078345298767
Denial of Service,Collection of data not required for the user-consented purpose,0.3040280342102051
Denial of Service,Insufficient Data Structure Model to handle user rights,0.2365155816078186
Denial of Service,Sharing of Data with 3rd Party,0.03554147854447365
Denial of Service,"Inappropriate Policies, Terms and Conditions",0.21088048815727234
Denial of Service,Insecure Data Transfer,0.23338347673416138
Denial of Service,Transfer or Processing through 3rd Party,0.061372313648462296
Denial of Service,Misleading Content,0.05142279714345932
Denial of Service,Collection without Consent,0.41640201210975647
Denial of Service,Data Aggregation and Profiling,0.1031988263130188
Denial of Service,Secondary Use,-0.03721471503376961
Denial of Service,Form field design issues,0.0888214185833931
Malware,Manipulation of hardware and software,0.5179367661476135
Malware,Manipulation of information,0.3669593930244446
Malware,Threats targeting autonomous sensors,0.4322674870491028
Malware,Threats against AI and ML,0.25707417726516724
Malware,Failure or malfunction of a sensor/actuator,0.20114974677562714
Malware,Vandalism,0.46521419286727905
Malware,Network outage,0.11425569653511047
Malware,OEM Targeted attacks,0.3217214047908783
Malware,Unauthorised activities,0.13812382519245148
Malware,Identity theft,0.30143821239471436
Malware,Abuse of authorizations,0.21433009207248688
Malware,Sabotage,0.2753909230232239
Malware,Theft,0.31231269240379333
Malware,Side-channel attacks,0.3340822458267212
Malware,Fault injection,0.28232043981552124
Malware,Software vulnerabilities exploitation,0.3784051835536957
Malware,Failure or Disruption of service,0.06810857355594635
Malware,Communication protocol hijacking,0.17898711562156677
Malware,Data replay,0.13262374699115753
Malware,Man-in-the-middle attack / Session hijacking,0.19957119226455688
Malware,Unintentional change of data or car components configuration,0.15702256560325623
Malware,Information leakage,0.18807776272296906
Malware,Using information and/or devices from an unreliable source,0.36743760108947754
Malware,Erroneous use or configuration of car components,0.17961901426315308
Malware,Failure to meet contractual requirements,0.0020924387499690056
Malware,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.17671425640583038
Malware,Loss of GNSS signal,0.07896798104047775
Malware,Car depleted battery,0.10962916165590286
Malware,Attacker injects CAN messages/codes via any ECUs connected to the bus.,0.36500880122184753
Malware,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.27755433320999146
Malware,Attacker remotely accesses via telematics systems (TCU).,0.3961019515991211
Malware,"An adversary can capture, analyze, and replaye the messages.",0.2844352424144745
Malware,An adversary could link the messages to a specific vehicle.,0.27117499709129333
Malware,An adversary can crack a weak password.,0.2903667092323303
Malware,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.4071948528289795
Malware,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,0.2832834720611572
Malware,"Spying, SMS Interception & Modification, User Tracking.",0.40258607268333435
Malware,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",0.14520163834095
Malware,"Attacker can modify the hardware or changing or disabling physical sensors, memories and features.",0.3324386477470398
Malware,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.3107689917087555
Malware,Attacker operates phisically on the TC by tampering the device firmware.,0.4265965223312378
Malware,An attacker could perform remote control by installing remotely his own software on the device.,0.36215654015541077
Malware,Reprogramming the USB/CD device's firmware to execute malicious actions.,0.3946615159511566
Malware,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,0.38530147075653076
Malware,An adversary can identify or track the vehicle from the sensor.,0.19707606732845306
Malware,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.1804913729429245
Malware,Possibility to discover and control the behaviour and profile of the driver.,0.11741884052753448
Malware,An adversary relates pseudonymous positions to specific vehicles.,0.2743171155452728
Malware,Mobile App spoofing,0.400840163230896
Malware,Smart key bruteforcing,0.2779363691806793
Malware,Smart key cloning,0.35083091259002686
Malware,GPS spoofing,0.16482707858085632
Malware,V2X Message replay,0.13026785850524902
Malware,Infotainment malware,0.48535439372062683
Malware,Mobile App malware,0.5738139152526855
Malware,ECU reflash,0.004173348192125559
Malware,CAN frame injection,0.16339890658855438
Malware,CAN frame tampering,0.23013588786125183
Malware,V2X data tampering,0.2735712230205536
Malware,CAN eavesdropping,0.20680399239063263
Malware,Unauthorised diagnostic access,0.17078447341918945
