sentence1,sentence2,score
Denial of Service,Malware,0.05589669197797775
Denial of Service,Manipulation of hardware and software,-0.02647659182548523
Denial of Service,Manipulation of information,0.04690636694431305
Denial of Service,Threats targeting autonomous sensors,0.09776975959539413
Denial of Service,Threats against AI and ML,0.032161612063646317
Denial of Service,Failure or malfunction of a sensor/actuator,0.21483653783798218
Denial of Service,Vandalism,0.08361566811800003
Denial of Service,Network outage,0.31203728914260864
Denial of Service,OEM Targeted attacks,0.06612040102481842
Denial of Service,Unauthorised activities,0.06209663301706314
Denial of Service,Identity theft,0.032205309718847275
Denial of Service,Abuse of authorizations,0.09474208205938339
Denial of Service,Sabotage,0.040764350444078445
Denial of Service,Theft,0.1048244759440422
Denial of Service,Side-channel attacks,0.1233849823474884
Denial of Service,Fault injection,0.11492562294006348
Denial of Service,Software vulnerabilities exploitation,0.05996851250529289
Denial of Service,Failure or Disruption of service,0.4261780381202698
Denial of Service,Communication protocol hijacking,0.08500513434410095
Denial of Service,Data replay,0.14749948680400848
Denial of Service,Man-in-the-middle attack / Session hijacking,0.1272064745426178
Denial of Service,Unintentional change of data or car components configuration,0.0894789770245552
Denial of Service,Information leakage,0.13672679662704468
Denial of Service,Using information and/or devices from an unreliable source,0.12231075763702393
Denial of Service,Erroneous use or configuration of car components,-0.016142185777425766
Denial of Service,Failure to meet contractual requirements,0.3571554124355316
Denial of Service,Violation of rules and regulations/Breach of legislation/ Abuse of personal data,0.058072879910469055
Denial of Service,Loss of GNSS signal,0.22027307748794556
Denial of Service,Car depleted battery,0.08629830181598663
Denial of Service,Attacker injects CAN messages/codes via any ECUs connected to the bus.,-0.008115308359265327
Denial of Service,Attacker modifies the path of the sensitive data circulating in the vehicle.,0.02344692125916481
Denial of Service,Attacker remotely accesses via telematics systems (TCU).,-0.022488048300147057
Denial of Service,"An adversary can capture, analyze, and replaye the messages.",0.05287531763315201
Denial of Service,An adversary could link the messages to a specific vehicle.,-0.037720561027526855
Denial of Service,An adversary can crack a weak password.,0.03813347592949867
Denial of Service,An adversary can execute arbitrary code on the telematics unit (TCU) and take control of the device.,0.011453764513134956
Denial of Service,The SS7 vulnerabilities can be exploited to compromise SMS system to intercept text user messages.,-0.05317452549934387
Denial of Service,"Spying, SMS Interception & Modification, User Tracking.",0.06469128280878067
Denial of Service,"Attacker can edit, add, manipuler codes and framework of the must ECUs in the vehcles.",-0.0712231993675232
Denial of Service,Attacker can moditv the hardware ov changina or disabling ohvsica sensors. memories and features.,0.07958829402923584
Denial of Service,"An attacker changes circuits of a device to extractsensitive data, such as cryptographic keys.",0.021331224590539932
Denial of Service,Attacker operates phisically on the TC by tampering the device firmware.,0.03397362306714058
Denial of Service,An attacker could perform remote control by installing remotely his own software on the device.,-0.04187924414873123
Denial of Service,Reprogramming the USB/CD device's firmware to execute malicious actions.,-0.07149417698383331
Denial of Service,An adversary can exploit the vulnerabilities o USB svstems on-board venice.,-0.0117576252669096
Denial of Service,An adversary can identify or track the vehicle from the sensor.,0.03066292777657509
Denial of Service,"For wireless communication channel, messages can be captured, analyze, and replayed.",0.040351033210754395
Denial of Service,Possibility to discover and control the behaviour and profile of the driver.,0.03497755527496338
Denial of Service,An adversary relates pseudonymous positions to specific vehicles.,0.09539142996072769
Denial of Service,Mobile App spoofing,0.05155510455369949
Denial of Service,Smart key bruteforcing,-0.11467225849628448
Denial of Service,Smart key cloning,-0.03175327181816101
Denial of Service,GPS spoofing,0.03465529531240463
Denial of Service,V2X Message replay,-0.040085360407829285
Denial of Service,Infotainment malware,0.04759933054447174
Denial of Service,Mobile App malware,0.06809672713279724
Denial of Service,ECU reflash,-0.010541426949203014
Denial of Service,CAN frame injection,0.13185852766036987
Denial of Service,CAN frame tampering,0.0842418372631073
Denial of Service,V2X data tampering,-0.08080022037029266
Denial of Service,CAN eavesdropping,0.134039968252182
Denial of Service,Unauthorised diagnostic access,0.26448071002960205
Denial of Service,Infotainment reverse engineering,0.05674222856760025
Denial of Service,Insecure API endpoint,0.22239530086517334
Denial of Service,ECU firmware dump,0.001813078299164772
Denial of Service,Server violation,0.24547505378723145
Denial of Service,V2X eavesdropping,-0.08850310742855072
Denial of Service,CAN bus flooding,0.04116951674222946
Denial of Service,Smart key jamming,0.07252723723649979
Denial of Service,Data loss,0.26050078868865967
Denial of Service,V2X DoS,-0.11760876327753067
Denial of Service,Infotainment Alteration,0.016187816858291626
Denial of Service,Rogue OBD-II Device,-0.040024541318416595
Denial of Service,Insider Threat,0.06799811124801636
Denial of Service,Web Application Vulnerabilities,0.15518635511398315
Denial of Service,Operator-sided Data Leakage,0.11449383199214935
Denial of Service,Insufficient Data Breach Response,0.28660547733306885
Denial of Service,Consent on Everything / Problems with getting Consent,0.291951060295105
Denial of Service,"Non-transparent Policies, Agreements, Terms and Conditions",0.40998950600624084
Denial of Service,Insufficient Deletion of User Data,0.3224111795425415
Denial of Service,Insufficient Data Quality,0.12723323702812195
