sentence1,sentence2,score
V2X Denial of Service,Mobile app malware,0.062243666499853134
V2X Denial of Service,Software vulnerabilities exploitation,0.12920911610126495
V2X Denial of Service,Arbitrary code execution on telematics unit (TCU),0.18209707736968994
V2X Denial of Service,"Manipulation of physical sensors, memories and features",-0.01701466180384159
V2X Denial of Service,Tampering with telematics unit (TCU) firmware,0.027982521802186966
V2X Denial of Service,Remote control via malicious software,0.15990303456783295
V2X Denial of Service,USB vulnerabilitiies exploitation,0.15974855422973633
V2X Denial of Service,Car theft,0.0606594979763031
V2X Denial of Service,Mobile app spoofing,0.04041144624352455
V2X Denial of Service,Misleading information in OEM services,0.10953810065984726
V2X Denial of Service,Failure or malfunction of a sensor/actuator,0.1952660232782364
V2X Denial of Service,Failure or disruption of service,0.3055458962917328
V2X Denial of Service,Unauthorised violation of rules and regulations / breach of legislation / abuse of personal data,0.13628807663917542
V2X Denial of Service,Identity theft of driver,0.10089057683944702
V2X Denial of Service,Web application vulnerabilities,0.11443126201629639
V2X Denial of Service,Communication protocol and/or session hijacking,0.1649075448513031
V2X Denial of Service,Change of data or car components configuration,-0.0008939597755670547
V2X Denial of Service,Data loss,0.19912651181221008
V2X Denial of Service,Operator-sided data leakage in OEM and/or car devices,0.1540057212114334
V2X Denial of Service,Using information and/or devices from an unreliable source,0.09714199602603912
V2X Denial of Service,Collection of data not required for the driver-consented purpose,0.25125977396965027
V2X Denial of Service,Failure to meet contractual requirements,0.22947895526885986
V2X Denial of Service,Loss of GNSS signal,0.23069602251052856
V2X Denial of Service,Weak password,0.09356414526700974
V2X Denial of Service,CAN frame tampering,0.03869056701660156
V2X Denial of Service,Smart key jamming,0.056610219180583954
V2X Denial of Service,Data aggregation and profiling of the driver,0.010020293295383453
V2X Denial of Service,Remote arbitrary code execution on telematics unit (TCU),0.18323387205600739
V2X Denial of Service,Remote access via telematics unit (TCU),0.22232526540756226
V2X Denial of Service,"Message capture, analysis and replay",0.07337278127670288
V2X Denial of Service,Data aggregation and profiling of the vehicle from sensors,-0.00894197728484869
V2X Denial of Service,Data aggregation and profiling of the vehicle from pseudonymous positions,0.1438726931810379
V2X Denial of Service,Smart key bruteforcing,-0.04912981390953064
V2X Denial of Service,Arbitrary code execution on telematics unit (TCU) by tampering the device firmware,0.06053272634744644
V2X Denial of Service,CAN eavesdropping,0.1178324818611145
V2X Denial of Service,Spying and tracking of the driver,0.10694524645805359
V2X Denial of Service,Manipulation of hardware to extract sensitive data,0.016454143449664116
V2X Denial of Service,Tampering with telematics unit (TCU) firmware to extract sensitive data,0.03302883729338646
V2X Denial of Service,Manipulation of firmware in vehicle devices,0.062228091061115265
V2X Denial of Service,Data aggregation and profiling of the vehicle from sensors and/or pseudonymous positions,0.09273762255907059
V2X Denial of Service,GPS spoofing,0.0411466583609581
V2X Denial of Service,Smart key cloning,-0.0034168947022408247
V2X Denial of Service,V2X message replay,0.48601117730140686
V2X Denial of Service,V2X data tampering,0.4559643268585205
V2X Denial of Service,V2X eavesdropping,0.4389759600162506
V2X Denial of Service,Infotainment reverse engineering and alteration,0.16226297616958618
V2X Denial of Service,Insecure data transfer in OEM and/or car services,0.20735828578472137
V2X Denial of Service,Insufficient deletion of driver data,0.26399222016334534
V2X Denial of Service,Insufficient data quality in OEM and/or car services,0.12043917924165726
V2X Denial of Service,Insufficient data breach response from OEM,0.2445507049560547
V2X Denial of Service,Insufficient data structure model to handle driver rights,0.2150675505399704
V2X Denial of Service,"Inappropriate or non-transparent policies, terms and conditions to driver",0.2896140515804291
V2X Denial of Service,Missing or insufficient session expiration,0.187224879860878
V2X Denial of Service,Inability of driver to access and modify data,0.29466983675956726
V2X Denial of Service,"Sharing, transfer or processing through 3rd party of driver data",0.06934300065040588
Mobile app malware,Software vulnerabilities exploitation,0.45115864276885986
Mobile app malware,Arbitrary code execution on telematics unit (TCU),0.38195860385894775
Mobile app malware,"Manipulation of physical sensors, memories and features",0.36313700675964355
