sentence1,sentence2,score
Remote control via malicious software,Mobile app compromise,0.20708107948303223
Remote control via malicious software,Software vulnerabilities exploitation,0.4809333086013794
Remote control via malicious software,Arbitrary code execution on telematics unit (TCU),0.4738793671131134
Remote control via malicious software,Remote access via telematics unit (TCU),0.3866957426071167
Remote control via malicious software,Remote arbitrary code execution on telematics unit (TCU),0.4676390290260315
Remote control via malicious software,Arbitrary code execution on telematics unit (TCU) by tampering the device firmware,0.5998793840408325
Remote control via malicious software,Tampering with telematics unit (TCU) firmware,0.5071098804473877
Remote control via malicious software,Manipulation of firmware in vehicle devices,0.5157443284988403
Remote control via malicious software,Car theft,0.3049817979335785
Remote control via malicious software,Identity theft of driver,0.39107489585876465
Remote control via malicious software,Operator-sided data leakage in OEM and/or car devices,0.38081681728363037
Remote control via malicious software,Insecure data transfer in OEM and/or car services,0.29826122522354126
Remote control via malicious software,Collection of data not required for the driver-consented purpose,0.24417102336883545
Remote control via malicious software,Data aggregation and profiling of the vehicle from sensors and/or pseudonymous positions,0.29814931750297546
Remote control via malicious software,Smart key jamming and/or bruteforcing,0.4048561751842499
Remote control via malicious software,Smart key jamming and/or cloning,0.49176305532455444
Remote control via malicious software,Data aggregation and profiling of the driver and/or vehicle,0.15577737987041473
Remote control via malicious software,Spying and tracking of the driver,0.29283607006073
Remote control via malicious software,"Message capture, analysis and replay",0.16272903978824615
Remote control via malicious software,Communication eavesdropping in vehicle components,0.28004026412963867
Remote control via malicious software,Manipulation of hardware to extract sensitive data,0.5208556056022644
Remote control via malicious software,V2X manipulation and compromise,0.36973750591278076
Remote control via malicious software,Insufficient data quality in OEM and/or car services,0.21183332800865173
Remote control via malicious software,Insufficient data structure model to handle driver rights,0.2110053449869156
Remote control via malicious software,"Inappropriate or non-transparent policies, terms and conditions to driver",0.2651471793651581
Remote control via malicious software,Inability of driver to access and modify data,0.256075382232666
Mobile app compromise,Software vulnerabilities exploitation,0.2886834740638733
Mobile app compromise,Arbitrary code execution on telematics unit (TCU),0.21304599940776825
Mobile app compromise,Remote access via telematics unit (TCU),0.18076092004776
Mobile app compromise,Remote arbitrary code execution on telematics unit (TCU),0.2240632027387619
Mobile app compromise,Arbitrary code execution on telematics unit (TCU) by tampering the device firmware,0.34407520294189453
Mobile app compromise,Tampering with telematics unit (TCU) firmware,0.3378700315952301
Mobile app compromise,Manipulation of firmware in vehicle devices,0.2629757821559906
Mobile app compromise,Car theft,0.07245979458093643
Mobile app compromise,Identity theft of driver,0.11148282885551453
Mobile app compromise,Operator-sided data leakage in OEM and/or car devices,0.10238157957792282
Mobile app compromise,Insecure data transfer in OEM and/or car services,0.11142151802778244
Mobile app compromise,Collection of data not required for the driver-consented purpose,0.1463397592306137
Mobile app compromise,Data aggregation and profiling of the vehicle from sensors and/or pseudonymous positions,0.14630383253097534
Mobile app compromise,Smart key jamming and/or bruteforcing,0.150896817445755
Mobile app compromise,Smart key jamming and/or cloning,0.23189431428909302
Mobile app compromise,Data aggregation and profiling of the driver and/or vehicle,0.10573285073041916
Mobile app compromise,Spying and tracking of the driver,0.08922772854566574
Mobile app compromise,"Message capture, analysis and replay",0.1803082525730133
Mobile app compromise,Communication eavesdropping in vehicle components,0.1961372196674347
Mobile app compromise,Manipulation of hardware to extract sensitive data,0.08536972105503082
Mobile app compromise,V2X manipulation and compromise,0.30063483119010925
Mobile app compromise,Insufficient data quality in OEM and/or car services,0.12935541570186615
Mobile app compromise,Insufficient data structure model to handle driver rights,0.12525427341461182
Mobile app compromise,"Inappropriate or non-transparent policies, terms and conditions to driver",0.16102725267410278
Mobile app compromise,Inability of driver to access and modify data,0.12954813241958618
Software vulnerabilities exploitation,Arbitrary code execution on telematics unit (TCU),0.2907979190349579
Software vulnerabilities exploitation,Remote access via telematics unit (TCU),0.15585464239120483
Software vulnerabilities exploitation,Remote arbitrary code execution on telematics unit (TCU),0.2614462375640869
Software vulnerabilities exploitation,Arbitrary code execution on telematics unit (TCU) by tampering the device firmware,0.3737671375274658
Software vulnerabilities exploitation,Tampering with telematics unit (TCU) firmware,0.35213229060173035
Software vulnerabilities exploitation,Manipulation of firmware in vehicle devices,0.37591955065727234
Software vulnerabilities exploitation,Car theft,0.28798726201057434
Software vulnerabilities exploitation,Identity theft of driver,0.3523195683956146
